player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Jaysean Paige,Maine Celtics,Detroit Pistons,2021-12-31,10-Day,2021-22,2021
Jeenathan Williams,Salt Lake City Stars,Portland Trail Blazers,2023-04-01,Standard,2022-23,2022
Jeff Dowtin,Lakeland Magic,Orlando Magic,2022-03-22,10-Day,2021-22,2021
Jeff Dowtin Jr.,Delaware Blue Coats,Philadelphia 76ers,2024-03-02,Two-Way,2023-24,2023
Jemerrio Jones,Wisconsin Herd,Los Angeles Lakers,2021-12-21,10-Day,2021-22,2021
Jeremiah Martin,Sioux Falls Skyforce,Brooklyn Nets,2020-01-16,Two-Way,2019-20,2019
Jeremiah Martin,Long Island Nets,Cleveland Cavaliers,2021-04-28,Two-Way,2020-21,2021
Jeremy Pargo,Santa Cruz Warriors,Golden State Warriors,2020-02-08,10-Day,2019-20,2019
Joe Chealey,Greensboro Swarm,Charlotte Hornets,2020-02-21,10-Day,2019-20,2019
Joe Wieskamp,Wisconsin Herd,Toronto Raptors,2023-01-07,10-Day,2022-23,2022
Joe Wieskamp,Wisconsin Herd,Toronto Raptors,2023-02-11,Standard,2022-23,2022
Jon Teske,Lakeland Magic,Memphis Grizzlies,2022-01-03,10-Day,2021-22,2021
Jontay Porter,Motor City Cruise,Toronto Raptors,2023-12-10,Two-Way,2023-24,2023
Jordan Bell,Capital City Go-Go,Washington Wizards,2021-01-23,10-Day,2020-21,2021
Jordan Bell,Capital City Go-Go,Washington Wizards,2021-04-14,10-Day,2020-21,2021
Jordan Bell,Erie BayHawks,Golden State Warriors,2021-05-13,Two-Way,2020-21,2021
Jordan Bell,Santa Cruz Warriors,Chicago Bulls,2021-12-30,10-Day,2021-22,2021
Jordan Goodwin,Capital City Go-Go,Washington Wizards,2021-12-26,10-Day,2021-22,2021
Jordan Goodwin,South Bay Lakers,Los Angeles Lakers,2025-02-07,Two-Way,2024-25,2024
Jordan Hall,Austin Spurs,San Antonio Spurs,2022-11-02,Standard,2022-23,2022
Jordan Schakel,Capital City Go-Go,Washington Wizards,2021-12-22,10-Day,2021-22,2021
Jordan Schakel,Capital City Go-Go,Washington Wizards,2022-03-09,Two-Way,2021-22,2021
Jr. Chaundee Brown,South Bay Lakers,Atlanta Hawks,2022-04-09,Two-Way,2021-22,2021
